0 1 2
0 2 6
0 3 1
0 4 7
0 5 4
0 6 6
0 7 3
0 8 2
0 9 4
0 10 7
0 11 5
0 12 6
0 13 9
0 14 4
0 15 7
0 16 8
0 17 1
0 18 3
0 19 7
0 20 5
0 21 2
0 22 2
0 23 9
0 24 1
0 25 7
0 26 1
0 27 4
0 28 9
0 29 5
0 30 8
0 31 10
0 32 9
0 33 7
0 34 10
0 35 8
0 36 7
0 37 9
0 38 2
0 39 1
0 40 3
0 41 9
0 42 7
0 43 9
0 44 5
0 45 9
0 46 2
0 47 9
0 48 7
0 49 7
0 50 3
0 51 5
0 52 7
0 53 9
0 54 1
0 55 4
0 56 6
0 57 7
0 58 6
0 59 3
0 60 10
0 61 10
0 62 10
0 63 8
0 64 10
0 65 10
0 66 7
0 67 7
0 68 4
0 69 3
0 70 9
0 71 6
0 72 8
0 73 4
0 74 3
0 75 5
0 76 9
0 77 1
0 78 2
0 79 5
0 80 5
0 81 3
0 82 3
0 83 9
0 84 2
0 85 10
0 86 9
0 87 10
0 88 2
0 89 10
0 90 4
0 91 6
0 92 2
0 93 5
0 94 6
0 95 5
0 96 8
0 97 3
0 98 6
0 99 8
1 2 4
1 3 5
1 4 4
1 5 4
1 6 8
1 7 3
1 8 3
1 9 3
1 10 6
1 11 7
1 12 4
1 13 1
1 14 1
1 15 10
1 16 7
1 17 1
1 18 3
1 19 4
1 20 3
1 21 3
1 22 1
1 23 7
1 24 5
1 25 5
1 26 9
1 27 3
1 28 8
1 29 1
1 30 2
1 31 10
1 32 9
1 33 1
1 34 2
1 35 4
1 36 2
1 37 6
1 38 8
1 39 4
1 40 7
1 41 7
1 42 8
1 43 5
1 44 9
1 45 9
1 46 6
1 47 5
1 48 6
1 49 7
1 50 5
1 51 4
1 52 6
1 53 7
1 54 2
1 55 6
1 56 1
1 57 8
1 58 2
1 59 2
1 60 10
1 61 2
1 62 1
1 63 10
1 64 10
1 65 10
1 66 3
1 67 3
1 68 2
1 69 3
1 70 5
1 71 10
1 72 10
1 73 6
1 74 7
1 75 7
1 76 1
1 77 8
1 78 3
1 79 6
1 80 2
1 81 5
1 82 1
1 83 1
1 84 5
1 85 5
1 86 6
1 87 5
1 88 9
1 89 8
1 90 9
1 91 8
1 92 1
1 93 1
1 94 8
1 95 2
1 96 6
1 97 4
1 98 7
1 99 10
2 3 4
2 4 5
2 5 5
2 6 2
2 7 6
2 8 8
2 9 10
2 10 6
2 11 5
2 12 9
2 13 8
2 14 6
2 15 1
2 16 8
2 17 8
2 18 5
2 19 7
2 20 3
2 21 8
2 22 3
2 23 9
2 24 4
2 25 3
2 26 7
2 27 2
2 28 5
2 29 5
2 30 7
2 31 3
2 32 5
2 33 8
2 34 1
2 35 10
2 36 5
2 37 1
2 38 10
2 39 1
2 40 2
2 41 1
2 42 10
2 43 7
2 44 4
2 45 7
2 46 6
2 47 1
2 48 9
2 49 5
2 50 3
2 51 3
2 52 6
2 53 1
2 54 7
2 55 6
2 56 7
2 57 3
2 58 7
2 59 3
2 60 3
2 61 5
2 62 1
2 63 10
2 64 5
2 65 8
2 66 10
2 67 2
2 68 5
2 69 2
2 70 7
2 71 3
2 72 10
2 73 6
2 74 9
2 75 2
2 76 5
2 77 8
2 78 10
2 79 3
2 80 5
2 81 4
2 82 10
2 83 4
2 84 4
2 85 3
2 86 9
2 87 1
2 88 8
2 89 3
2 90 2
2 91 4
2 92 8
2 93 8
2 94 4
2 95 4
2 96 10
2 97 2
2 98 6
2 99 6
3 4 5
3 5 1
3 6 9
3 7 2
3 8 5
3 9 5
3 10 1
3 11 5
3 12 6
3 13 4
3 14 2
3 15 6
3 16 8
3 17 3
3 18 8
3 19 2
3 20 2
3 21 8
3 22 10
3 23 2
3 24 8
3 25 5
3 26 9
3 27 1
3 28 1
3 29 4
3 30 7
3 31 7
3 32 1
3 33 3
3 34 3
3 35 9
3 36 1
3 37 2
3 38 10
3 39 9
3 40 8
3 41 4
3 42 7
3 43 1
3 44 3
3 45 5
3 46 8
3 47 5
3 48 7
3 49 8
3 50 4
3 51 4
3 52 6
3 53 6
3 54 2
3 55 1
3 56 5
3 57 6
3 58 2
3 59 4
3 60 4
3 61 2
3 62 2
3 63 10
3 64 4
3 65 7
3 66 9
3 67 7
3 68 10
3 69 6
3 70 4
3 71 10
3 72 3
3 73 10
3 74 6
3 75 10
3 76 10
3 77 3
3 78 1
3 79 1
3 80 8
3 81 7
3 82 10
3 83 3
3 84 7
3 85 9
3 86 6
3 87 9
3 88 5
3 89 9
3 90 2
3 91 10
3 92 10
3 93 5
3 94 5
3 95 5
3 96 9
3 97 3
3 98 10
3 99 10
4 5 6
4 6 6
4 7 5
4 8 10
4 9 6
4 10 4
4 11 6
4 12 9
4 13 7
4 14 10
4 15 4
4 16 3
4 17 9
4 18 3
4 19 8
4 20 6
4 21 2
4 22 6
4 23 7
4 24 8
4 25 9
4 26 6
4 27 8
4 28 1
4 29 2
4 30 4
4 31 5
4 32 9
4 33 9
4 34 4
4 35 1
4 36 8
4 37 7
4 38 5
4 39 7
4 40 9
4 41 4
4 42 5
4 43 8
4 44 2
4 45 7
4 46 1
4 47 1
4 48 2
4 49 3
4 50 8
4 51 9
4 52 10
4 53 9
4 54 1
4 55 4
4 56 7
4 57 7
4 58 10
4 59 3
4 60 3
4 61 2
4 62 4
4 63 8
4 64 8
4 65 8
4 66 10
4 67 7
4 68 1
4 69 1
4 70 4
4 71 6
4 72 7
4 73 2
4 74 5
4 75 5
4 76 5
4 77 9
4 78 8
4 79 2
4 80 3
4 81 6
4 82 5
4 83 1
4 84 10
4 85 7
4 86 6
4 87 6
4 88 8
4 89 6
4 90 5
4 91 9
4 92 2
4 93 2
4 94 10
4 95 3
4 96 1
4 97 10
4 98 5
4 99 6
5 6 8
5 7 5
5 8 6
5 9 4
5 10 7
5 11 3
5 12 10
5 13 7
5 14 9
5 15 5
5 16 10
5 17 9
5 18 7
5 19 8
5 20 8
5 21 9
5 22 6
5 23 6
5 24 1
5 25 8
5 26 8
5 27 5
5 28 8
5 29 2
5 30 1
5 31 2
5 32 10
5 33 7
5 34 4
5 35 10
5 36 8
5 37 6
5 38 6
5 39 1
5 40 1
5 41 10
5 42 1
5 43 5
5 44 4
5 45 1
5 46 8
5 47 6
5 48 4
5 49 1
5 50 3
5 51 9
5 52 6
5 53 9
